trait.name,temp,trait,error_pos,error_neg,error_unit,trait_def,trait2_name,trait2,genus,species,citation,doi,data_source,notes
lf,18,97,NA,NA,NA,,total meals per specimen,1,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,52,NA,NA,NA,,total meals per specimen,2,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 7
lf,18,61,NA,NA,NA,,total meals per specimen,3,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 3
lf,18,77,NA,NA,NA,,total meals per specimen,4,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 3
lf,18,89,NA,NA,NA,,total meals per specimen,5,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 5
lf,18,53,NA,NA,NA,,total meals per specimen,6,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,131,NA,NA,NA,,total meals per specimen,7,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,120,NA,NA,NA,,total meals per specimen,8,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 2
lf,18,100,NA,NA,NA,,total meals per specimen,9,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 2
lf,18,122,NA,NA,NA,,total meals per specimen,10,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,26,NA,NA,NA,,total meals per specimen,1,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 30
lf,18,36,NA,NA,NA,,total meals per specimen,2,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 10
lf,18,34,NA,NA,NA,,total meals per specimen,3,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 7
lf,18,52,NA,NA,NA,,total meals per specimen,4,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,50,NA,NA,NA,,total meals per specimen,5,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,23,NA,NA,NA,,total meals per specimen,1,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 6
lf,18,36,NA,NA,NA,,total meals per specimen,2,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 11
lf,18,49,NA,NA,NA,,total meals per specimen,3,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 6
lf,18,53,NA,NA,NA,,total meals per specimen,4,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 7
lf,18,47,NA,NA,NA,,total meals per specimen,5,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 2
lf,18,71,NA,NA,NA,,total meals per specimen,0,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
lf,18,14,NA,NA,NA,,total meals per specimen,1,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 6
lf,18,24,NA,NA,NA,,total meals per specimen,2,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 4
lf,18,40,NA,NA,NA,,total meals per specimen,3,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 3
lf,18,49,NA,NA,NA,,total meals per specimen,4,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 5
lf,18,57,NA,NA,NA,,total meals per specimen,5,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 2
lf,18,56,NA,NA,NA,,total meals per specimen,6,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 1,n = 1
1/a,18,25,51,4,min/max,days between consecutive blood meals,meal count,1-2,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 25
1/a,18,14,31,7,min/max,days between consecutive blood meals,meal count,2-3,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 18
1/a,18,18,74,5,min/max,days between consecutive blood meals,meal count,3-4,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 15
1/a,18,13,35,5,min/max,days between consecutive blood meals,meal count,4-5,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 12
1/a,18,9,15,3,min/max,days between consecutive blood meals,meal count,5-6,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 7
1/a,18,12,28,2,min/max,days between consecutive blood meals,meal count,6-7,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 6
1/a,18,10,15,6,min/max,days between consecutive blood meals,meal count,7-8,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 5
1/a,18,13,19,8,min/max,days between consecutive blood meals,meal count,8-9,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 3
1/a,18,15,15,15,min/max,days between consecutive blood meals,meal count,9-10,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 1
1/a,18,17,35,4,min/max,days between consecutive blood meals,meal count,1-2,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 19
1/a,18,11,22,2,min/max,days between consecutive blood meals,meal count,2-3,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 9
1/a,18,9,10,8,min/max,days between consecutive blood meals,meal count,3-4,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 25
1/a,18,2,2,2,min/max,days between consecutive blood meals,meal count,4-5,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 1
1/a,18,20,62,4,min/max,days between consecutive blood meals,meal count,1-2,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 26
1/a,18,13,46,2,min/max,days between consecutive blood meals,meal count,2-3,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 15
1/a,18,10,19,2,min/max,days between consecutive blood meals,meal count,3-4,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 9
1/a,18,4,5,3,min/max,days between consecutive blood meals,meal count,4-5,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 2
1/a,18,13,20,10,min/max,days between consecutive blood meals,meal count,1-2,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 15
1/a,18,10,22,2,min/max,days between consecutive blood meals,meal count,2-3,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 11
1/a,18,11,13,6,min/max,days between consecutive blood meals,meal count,3-4,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 8
1/a,18,13,15,10,min/max,days between consecutive blood meals,meal count,4-5,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 4
1/a,18,15,15,15,min/max,days between consecutive blood meals,meal count,5-6,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n = 1
EFGC,18,50,114,2,min/max,eggs per batch,batch category,1st,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 23
EFGC,18,33,74,3,min/max,eggs per batch,batch category,2nd,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 18
EFGC,18,30,60,12,min/max,eggs per batch,batch category,3rd,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 14
EFGC,18,25,51,4,min/max,eggs per batch,batch category,4th,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 8
EFGC,18,18,26,9,min/max,eggs per batch,batch category,5th,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 7
EFGC,18,13,21,6,min/max,eggs per batch,batch category,6th,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 5
EFGC,18,18,30,7,min/max,eggs per batch,batch category,7th,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 3
EFGC,18,12,17,7,min/max,eggs per batch,batch category,8th,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 2
EFGC,18,12,12,12,min/max,eggs per batch,batch category,9th,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 1
EFGC,18,40,110,1,min/max,eggs per batch,batch category,1st,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 36
EFGC,18,28,47,8,min/max,eggs per batch,batch category,2nd,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 5
EFGC,18,14,14,14,min/max,eggs per batch,batch category,3rd,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 1
EFGC,18,32,90,3,min/max,eggs per batch,batch category,1st,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 27
EFGC,18,15,25,1,min/max,eggs per batch,batch category,2nd,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 5
EFGC,18,39,96,2,min/max,eggs per batch,batch category,1st,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 19
EFGC,18,38,108,13,min/max,eggs per batch,batch category,2nd,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 12
EFGC,18,28,55,6,min/max,eggs per batch,batch category,3rd,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 10
EFGC,18,26,51,13,min/max,eggs per batch,batch category,4th,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 4
EFGC,18,17,17,17,min/max,eggs per batch,batch category,5th,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 3,n = 1
